,year,weekday,SunLong,MoonLong,SunMoonActualDegrees,SunMoonAspectDegrees,SunMoonAspect,SunSign,Close_S&P500,Change_pct_S&P500,Close_CBOE:VIX,Close_USD-GBP,Change_pct_USD_GBP,Close_LON:FTSE100,Change_pct_LON:FTSE100,Std_Dev_LON:FTSE100,Std_Dev_pct_LON:FTSE100
2001-01-03,2001,2,282.67,13.39,269.28000000000003,90.71999999999997,SQ,10_CAP,1347.56005859375,0.05009860597069338,26.60000038146973,0.6646,-0.005982650314089177,6039.9,0.02412291594231708,260.7307051974654,0.04316805000040819
2001-01-04,2001,3,283.69,26.21,257.48,102.51999999999998,,10_CAP,1333.3399658203125,-0.010552474216456775,26.96999931335449,0.6698,0.00782425519109231,6185.6,0.02412291594231708,260.7307051974654,0.0421512392003145
2001-01-05,2001,4,284.71,39.45,245.26,114.74000000000001,,10_CAP,1298.3499755859375,-0.026242362136687403,28.670000076293945,0.6687,-0.0016422812779933738,6198.1,0.0020208225556130888,260.7307051974654,0.042066230812259464
2001-01-08,2001,0,287.77,81.86,205.90999999999997,154.09000000000003,,10_CAP,1295.8599853515625,-0.0019178112844737694,29.84000015258789,0.6669,-0.0026917900403766737,6149.6,-0.007824978622481105,260.7307051974654,0.04239799421059343
2001-01-09,2001,1,288.79,96.78,192.01000000000002,167.98999999999998,,10_CAP,1300.800048828125,0.003812189227544005,27.989999771118164,0.6707,0.005698005698005604,6088.1,-0.010000650448809711,260.7307051974654,0.04282628491606008
2001-01-10,2001,2,289.8,111.93,177.87,177.87,OP,10_CAP,1313.27001953125,0.009586385482041715,26.79999923706055,0.6709999999999999,0.00044729387207387283,6060.6,-0.004517008590529059,260.7307051974654,0.04302060937819117
2001-01-11,2001,3,290.82,127.14,163.68,163.68,,10_CAP,1326.8199462890625,0.010317700515731554,25.790000915527344,0.669,-0.0029806259314454353,6114.9,0.008959508959508922,260.7307051974654,0.04263858856194957
2001-01-12,2001,4,291.84,142.26,149.57999999999998,149.57999999999998,,10_CAP,1318.550048828125,-0.006232870921233369,24.559999465942386,0.6764,0.011061285500747253,6165.5,0.008274869580859878,260.7307051974654,0.042288655453323394
2001-01-16,2001,1,295.92,199.45,96.47000000000003,96.47000000000003,,10_CAP,1326.6500244140625,0.006143093008214917,25.28000068664551,0.688,0.01714961561206385,6083.3,-0.013332252047684623,260.7307051974654,0.04286007680000417
2001-01-17,2001,2,296.93,212.71,84.22,84.22,,10_CAP,1329.469970703125,0.0021256143196530797,24.93000030517578,0.6789,-0.013226744186046524,6197.4,0.018756267157628237,260.7307051974654,0.04207098221794065
