Ticker,Exchange,Market,Symbol,Name,Sector,Industry Grp,CCY,MarketCapBillions,YahooTicker,GoogleTicker
LON:III,LON,MAIN MARKET,III,3I GROUP PLC,Financials,Financial Services,GBX,10.226276181,III.L,LON:III
LON:3IN,LON,MAIN MARKET,3IN,3I INFRASTRUCTURE PLC,Financials,Financial Services,GBX,2.3421542890000002,3IN.L,LON:3IN
LON:ABC,LON,AIM,ABC,ABCAM PLC,Health Care,Health Care,GBX,2.929766,ABC.L,LON:ABC
LON:ASL,LON,MAIN MARKET,ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,Financial Services,GBX,1.1278399879999998,ASL.L,LON:ASL
LON:ADM,LON,MAIN MARKET,ADM,ADMIRAL GROUP PLC,Financials,Insurance,GBX,5.999386526,ADM.L,LON:ADM
LON:AGK,LON,MAIN MARKET,AGK,AGGREKO PLC,Industrials,Industrial Goods & Services,GBX,1.983456789,AGK.L,LON:AGK
LON:AJB,LON,MAIN MARKET,AJB,AJ BELL PLC,Financials,Financial Services,GBX,1.70266721,AJB.L,LON:AJB
LON:ATST,LON,MAIN MARKET,ATST,ALLIANCE TRUST PLC,Financials,Financial Services,GBX,2.491229881,ATST.L,LON:ATST
LON:AMGO,LON,MAIN MARKET,AMGO,AMIGO HOLDINGS PLC,Financials,Financial Services,GBX,1.178827725,AMGO.L,LON:AMGO
LON:AAL,LON,MAIN MARKET,AAL,ANGLO AMERICAN PLC,Basic Materials,Basic Resources,GBX,26.626257094,AAL.L,LON:AAL
LON:ANTO,LON,MAIN MARKET,ANTO,ANTOFAGASTA PLC,Basic Materials,Basic Resources,GBX,7.717286208000001,ANTO.L,LON:ANTO
LON:ASCL,LON,MAIN MARKET,ASCL,ASCENTIAL PLC,Consumer Services,Media,GBX,1.545044984,ASCL.L,LON:ASCL
LON:ASHM,LON,MAIN MARKET,ASHM,ASHMORE GROUP PLC,Financials,Financial Services,GBX,3.366987558,ASHM.L,LON:ASHM
LON:AHT,LON,MAIN MARKET,AHT,ASHTEAD GROUP PLC,Industrials,Industrial Goods & Services,GBX,8.71494317,AHT.L,LON:AHT
LON:ASC,LON,AIM,ASC,ASOS PLC,Consumer Services,Retail,GBX,2.88520626,ASC.L,LON:ASC
LON:ABF,LON,MAIN MARKET,ABF,ASSOCIATED BRITISH FOODS PLC,Consumer Goods,Food & Beverage,GBX,19.538518835999998,ABF.L,LON:ABF
LON:AGR,LON,MAIN MARKET,AGR,ASSURA PLC,Financials,Real Estate,GBX,1.539732861,AGR.L,LON:AGR
LON:AML,LON,MAIN MARKET,AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Goods,Automobiles & Parts,GBX,1.9900092239999998,AML.L,LON:AML
LON:AZN,LON,MAIN MARKET,AZN,ASTRAZENECA PLC,Health Care,Health Care,GBX,76.514913669,AZN.L,LON:AZN
LON:AUTO,LON,MAIN MARKET,AUTO,AUTO TRADER GROUP PLC,Consumer Services,Media,GBX,5.56971685,AUTO.L,LON:AUTO
LON:AVST,LON,MAIN MARKET,AVST,AVAST PLC,Technology,Technology,GBX,2.950190889,AVST.L,LON:AVST
LON:AVV,LON,MAIN MARKET,AVV,AVEVA GROUP PLC,Technology,Technology,GBX,5.961332362,AVV.L,LON:AVV
LON:AV.,LON,MAIN MARKET,AV.,AVIVA PLC,Financials,Insurance,GBX,15.84549964,AV.L,LON:AV
